source_file,en_source,de_translation,de_correction,error_category,severity,feedback_reviewer,feedback_translator,linter_fires,comment_classification
26_0422_4545_US_IE_5.xlsx,"4. The fuel nozzle (70) of any preceding claim, wherein the hole outlet (130) is radially outward of the hole inlet (128) for each tangential feed hole (116) of the plurality of tangential feed holes (116) relative to the upstream fuel passage centerline (118).","4. Brennstoffdüse (70) nach einem der vorhergehenden Ansprüche, wobei sich der Lochauslass (130) radial außerhalb des Locheinlasses (128) für jedes tangentiale Zufuhrloch (116) der Vielzahl von tangentialen Zufuhrlöchern (116) relativ zu der stromaufwärts gelegenen Brennstoffkanalmittellinie (118) befindet.","4. Brennstoffdüse (70) nach einem der vorhergehenden Ansprüche, wobei der Lochauslass (130) für jedes tangentiale Zufuhrloch (116) der Vielzahl von tangentialen Zufuhrlöchern (116) relativ zu der stromaufwärts gelegenen Brennstoffkanalmittellinie (118) radial außerhalb des Locheinlasses (128) ist.",Accuracy,Minor,"is = ist (located = befindet)
""radial außerhalb des Locheinlasses (128)"" moved to the end (preferential)",,,glossary:is_are_value; manual:word_order
26_0422_4545_US_IE_5.xlsx,"8. The fuel nozzle (70) of claim 6 or 7, wherein the distal axial end (82) includes an end surface (86) and a canted surface (88), the end surface (86) is oriented perpendicular to the centerline axis (76), the canted surface (88) extends circumferentially about the centerline axis (76) and surrounds the end surface (86), and the canted surface (88) faces away from the centerline axis (76).","8. Brennstoffdüse (70) nach Anspruch 6 oder 7, wobei das distale axiale Ende (82) eine Endfläche (86) und eine abgeschrägte Fläche (88) beinhaltet, wobei die Endfläche (86) senkrecht zu der Mittellinienachse (76) ausgerichtet ist, wobei sich die abgeschrägte Fläche (88) in Umfangsrichtung um die Mittellinienachse (76) erstreckt und die Endfläche (86) umgibt und die abgeschrägte Fläche (88) von der Mittellinienachse (76) abgewandt ist.","8. Brennstoffdüse (70) nach Anspruch 6 oder 7, wobei das distale axiale Ende (82) eine Endoberfläche (86) und eine abgeschrägte Oberfläche (88) beinhaltet, die Endoberfläche (86) senkrecht zu der Mittellinienachse (76) ausgerichtet ist, sich die abgeschrägte Oberfläche (88) in Umfangsrichtung um die Mittellinienachse (76) erstreckt und die Endoberfläche (86) umgibt und die abgeschrägte Oberfläche (88) von der Mittellinienachse (76) abgewandt ist.",Terminology,Minor,"surface = Oberfläche (face = Fläche)
Multiple ""wherein"" not necessary",,,glossary:other; manual:accuracy
26_0424_4309_US_IE_5.xlsx,"○ wherein the first radar signal has a waveform of a first frequency modulated continuous wave, and the first frequency modulated continuous wave is a triangular wave having a rising edge and a falling edge, wherein the rising edge is sent in a first time unit and the falling edge is sent in a second time unit subsequent to the first time unit, the second time unit having a same duration as the first time unit,","○ wobei das erste Radarsignal eine Wellenform einer ersten frequenzmodulierten kontinuierlichen Welle aufweist und die erste frequenzmodulierte kontinuierliche Welle eine Dreieckswelle mit einer steigenden Flanke und einer fallenden Flanke ist, wobei die steigende Flanke in einer ersten Zeiteinheit gesendet wird und die fallende Flanke in einer zweiten Zeiteinheit anschließend an die erste Zeiteinheit gesendet wird, wobei die zweite Zeiteinheit dieselbe Dauer wie die erste Zeiteinheit aufweist,","○ wobei das erste Radarsignal eine Wellenform einer ersten frequenzmodulierten ungedämpften Welle aufweist und die erste frequenzmodulierte ungedämpfte Welle eine Dreieckswelle ist, die eine steigende Flanke und eine fallende Flanke aufweist, wobei die steigende Flanke in einer ersten Zeiteinheit gesendet wird und die fallende Flanke in einer zweiten Zeiteinheit anschließend an die erste Zeiteinheit gesendet wird, wobei die zweite Zeiteinheit eine gleiche Dauer wie die erste Zeiteinheit aufweist,",Terminology,Minor,"continuous wave = ungedämpfte Welle ist ein feststehender Begriff, siehe z. B. Tureng

having = aufweisen

a same = eine gleiche",,werden_dynamic; same_selbe; same_gleich_missing,manual:terminology; linter:same_selbe; linter:same_gleich_missing
26_0424_4309_US_IE_5.xlsx,"[1] receiving(S 103) a first reflected signal and a second reflected signal, wherein the first reflected signal is an electromagnetic wave obtained after the first radar signal is reflected by a target object, and the second reflected signal is an electromagnetic wave obtained after the second radar signal is reflected by the target object; and","[1]Empfangen (S 103) eines ersten reflektierten Signals und eines zweiten reflektierten Signals, wobei das erste reflektierte Signal eine elektromagnetische Welle ist, die erhalten wird, nachdem das erste Radarsignal von einem Zielobjekt reflektiert wird, und das zweite reflektierte Signal eine elektromagnetische Welle ist, die erhalten wird, nachdem das zweite Radarsignal von dem Zielobjekt reflektiert wird; und","[1] Empfangen (S 103) eines ersten reflektierten Signals und eines zweiten reflektierten Signals, wobei das erste reflektierte Signal eine elektromagnetische Welle ist, die erhalten wird, nachdem das erste Radarsignal durch ein Zielobjekt reflektiert wird, und das zweite reflektierte Signal eine elektromagnetische Welle ist, die erhalten wird, nachdem das zweite Radarsignal durch das Zielobjekt reflektiert wird; und",Accuracy,Minor,"Fehlendes Leerzeichen vorne (in mehreren Segmenten)

by = durch",,werden_dynamic,manual:accuracy
26_0424_4309_US_IE_5.xlsx,"2. A storage medium, wherein the storage medium stores a computer program; and when the computer program is executed by a processor of a radar signal processing apparatus, the radar signal processing method according to claim 1 is performed.","2. Speichermedium, wobei das Speichermedium ein Computerprogramm speichert; und wenn das Computerprogramm durch einen Prozessor einer Radarsignalverarbeitungsvorrichtung ausgeführt wird, das Radarsignalverarbeitungsverfahren nach Anspruch 1 durchgeführt wird.","2. Speichermedium, wobei das Speichermedium ein Computerprogramm speichert; und, wenn das Computerprogramm durch einen Prozessor einer Radarsignalverarbeitungsvorrichtung ausgeführt wird, das Radarsignalverarbeitungsverfahren nach Anspruch 1 durchgeführt wird.",Language,Minor,"Komma nach ""und"", da ""und"" zum Hauptsatz gehört",,werden_dynamic,manual:punctuation
26_0424_4311_US_IE_4.xlsx,"a first diagnostic module (511), configured to: monitor and record first fault information;","ein erstes Diagnosemodul (511), das konfiguriert ist, um erste Fehlerinformationen zu überwachen und aufzuzeichnen;","ein erstes Diagnosemodul (511), das zu Folgendem konfiguriert ist: Überwachen und Aufzeichnen erster Fehlerinformationen;",Mistranslation,Minor,Colon ignored in several segments,,,manual:accuracy
26_0424_4311_US_IE_4.xlsx,"a first communication interface, configured to enable the first diagnostic module (511) to communicate with a master computer (6); and","eine erste Kommunikationsschnittstelle, die konfiguriert ist, um das erste Diagnosemodul (511) in die Lage zu versetzen, mit einem Master-Computer (6) zu kommunizieren; und","eine erste Kommunikationsschnittstelle, die dazu konfiguriert ist, das erste Diagnosemodul (511) in die Lage zu versetzen, mit einem Master-Computer (6) zu kommunizieren; und",Preferential Change,,We mostly use the structure 'dazu konfiguriert ist' in main clauses for consistency with occurrences of 'configured' before colons (like here),,,glossary:configured_to; manual:consistency
26_0424_4311_US_IE_4.xlsx,"the vehicle fault diagnostic method further comprises: repairing, by the first diagnostic module (511), the second diagnostic module (512) by restarting the second diagnostic module (512) or by upgrading software of the second diagnostic module (512) when receiving the second diagnostic module fault information; and","das Fahrzeugfehlerdiagnoseverfahren ferner Folgendes umfasst: Reparieren, durch das erste Diagnosemodul (511), des zweiten Diagnosemoduls (512) durch Neustarten des zweiten Diagnosemoduls (512) oder durch Aktualisieren von Software des zweiten Diagnosemoduls (512), wenn die Fehlerinformationen des zweiten Diagnosemoduls empfangen werden; und","das Fahrzeugfehlerdiagnoseverfahren ferner Folgendes umfasst: Reparieren des zweiten Diagnosemoduls (512) durch das erste Diagnosemodul (511) durch Neustarten des zweiten Diagnosemoduls (512) oder durch Aktualisieren von Software des zweiten Diagnosemoduls (512), wenn die Fehlerinformationen des zweiten Diagnosemoduls empfangen werden; und",Language,Minor,"Never seperate German genitives (""Reparieren des zweiten Diagnosemoduls"")",,werden_dynamic,linter_new:genitive_separation
26_0424_4311_US_IE_4.xlsx,"A computer-readable storage medium, wherein the computer-readable storage medium stores program instructions, and when the program instructions are run by a computer, the computer is enabled to perform the method according to any one of claims 7 to 11.","Computerlesbares Speichermedium, wobei das computerlesbare Speichermedium Programmanweisungen speichert, und wenn die Programmanweisungen von einem Computer ausgeführt werden, der Computer in die Lage versetzt wird, das Verfahren nach einem der Ansprüche 7 bis 11 durchzuführen.","Computerlesbares Speichermedium, wobei das computerlesbare Speichermedium Programmanweisungen speichert und, wenn die Programmanweisungen durch einen Computer ausgeführt werden, der Computer in die Lage versetzt wird, das Verfahren nach einem der Ansprüche 7 bis 11 durchzuführen.",Language,Minor,"The comma must follow “und” because this conjunction refers to the main clause, which continues with “der Computer in die Lage versetzt wird”",,werden_dynamic,manual:punctuation
26_0424_4632_US_IE_4 (1).xlsx,0.005,0.005,"0,5[NBSP]%",Country Standards,Minor,Fehlende Non-breaking spaces vor Einheiten (Alt+0160),,,linter:regular_space_before_unit; manual:accuracy
26_0424_4632_US_IE_4 (1).xlsx,optionally one or two or more selected from,optional eines oder zwei oder mehrere aus,"optional eines oder zwei oder mehrere, ausgewählt aus",Accuracy,Minor,"""ausgewählt"" fehlt",,,manual:accuracy
26_0424_4632_US_IE_4 (1).xlsx,"a steel microstructure contains ferrite: 5% by area percentage or less, a microstructure composed of one or two or more of upper bainite, fresh martensite, tempered martensite, lower bainite, and retained γ: 95% to 100% by area percentage, and retained γ: 4% to 15% by volume percentage,","eine Stahlmikrostruktur Ferrit enthält: 5 Flächen-% oder weniger, eine Mikrostruktur, die aus einem oder zwei oder mehr von oberem Bainit, frischem Martensit, angelassenem Martensit, unterem Bainit und Rest-γ besteht: 95 Flächen-% bis 100 Flächen-%, und Rest-γ: 4 Volumen-% bis 15 Volumen-%,","eine Stahlmikrostruktur Ferrit enthält: 5[NBSP]Flächen-% oder weniger, eine Mikrostruktur, die aus einem oder zwei oder mehr von oberem Bainit, frischem Martensit, angelassenem Martensit, unterem Bainit und Rest-γ: 95[NBSP]Flächen-% bis 100[NBSP]Flächen-% und Rest-γ: 4[NBSP]Volumen-% bis 15[NBSP]Volumen-% zusammengesetzt ist,",Consistency,Minor,"composition = Zusammensetzung > composed = zusammengesetzt

Verb am Ende!",,,linter:regular_space_before_unit; manual:terminology; manual:word_order
26_0424_4632_US_IE_4 (1).xlsx,retained γUB has an area percentage SγUB,Rest-γUB einen Flächen-% SγUB…aufweist,Rest-γUB einen Flächenanteil SγUB... aufweist,Consistency,Minor,"In Abgrenzung zu ""% by area percentage"" = ""Flächen-%""",,,manual:terminology
26_0424_4632_US_IE_4 (1).xlsx,SγFine,SγFin,SγFein,Mistranslation,Minor,fine = fein,,,manual:accuracy
26_0424_4632_US_IE_4 (1).xlsx,in the range,im Bereich,in dem Bereich,Style,Minor,"According to the guidelines, we have to spell out those prepositions",,preposition_contraction,linter:preposition_contraction
26_0424_4632_US_IE_4 (1).xlsx,"3. The steel sheet according to Claim 1 or Claim 2, wherein a region with a C concentration in the range of 0.6% to 1.3% with an adjacent region having a C concentration of 0.07% or less in the microstructure has a total area percentage Sc concentration in the range of 0.1% to 5%.","3. Stahlblech nach Anspruch 1 oder Anspruch 2, wobei eine Region mit einer C-Konzentration im Bereich von 0,6 % bis 1,3 % mit einer benachbarten Region mit einer C-Konzentration von 0,07 % oder weniger in der Mikrostruktur eine Gesamtflächen-%-Sc-Konzentration im Bereich von 0,1 % bis 5 % aufweist.","3. Stahlblech nach Anspruch 1 oder Anspruch 2, wobei eine Region mit einer C-Konzentration in dem Bereich von 0,6 % bis 1,3 % mit einer benachbarten Region, die eine C-Konzentration von 0,07 % oder weniger in der Mikrostruktur aufweist, eine Gesamtflächenanteil-Sc-Konzentration in dem Bereich von 0,1 % bis 5 % aufweist.",Terminology,Minor,having = aufweisen,,regular_space_before_unit; preposition_contraction,linter:preposition_contraction; glossary:have_having
26_0427_4554_US_IE_4.xlsx,apparatus,Vorrichtung,Einrichtung,Consistency,Minor,Im Titel wird device mit Vorrichtung übersetzt.,,,glossary:apparatus_device
26_0427_4554_US_IE_4.xlsx,process,Prozess,Vorgang,Terminology,Minor,Siehe Glossar,,,glossary:other
26_0427_4554_US_IE_4.xlsx,"a displacement amount detector (51) that includes a pressing part (51a) intended to press a paper sheet against a transporting face of a paper sheet transporting path and having an initial position at which the pressing part (51a) is not in contact with the transporting face of the paper sheet transporting path, the displacement amount detector (51) detecting a displacement amount of displacement of the pressing part (51a) from the initial position in a direction perpendicular to the transporting face, the pressing part (51a) being displaced according to a thickness of a paper sheet passing between the transporting face and the pressing part (51a),","einen Verschiebungsbetragsdetektor (51), der einen Pressteil (51a) beinhaltet, der dazu bestimmt ist, ein Papierblatt gegen eine Transportfläche eines Papierblatttransportwegs zu pressen, und der eine Anfangsposition aufweist, an der der Pressteil (51a) nicht in Kontakt mit der Transportfläche des Papierblatttransportwegs ist, wobei der Verschiebungsbetragsdetektor (51) einen Verschiebungsbetrag der Verschiebung des Pressteils (51a) von der Anfangsposition in einer Richtung senkrecht zu der Transportfläche detektiert, wobei der Pressteil (51a) gemäß einer Dicke von einem Papierblatt verschoben wird, das zwischen der Transportfläche und dem Pressteil (51a) hindurchgeht,","einen Verschiebungsbetragsdetektor (51), der einen Pressteil (51a) beinhaltet, der dazu gedacht ist, ein Papierblatt gegen eine Transportfläche eines Papierblatttransportwegs zu pressen, und eine Anfangsposition aufweist, an der der Pressteil (51a) nicht in Kontakt mit der Transportfläche des Papierblatttransportwegs ist, wobei der Verschiebungsbetragsdetektor (51) einen Verschiebungsbetrag einer Verschiebung des Pressteils (51a) von der Anfangsposition in einer Richtung senkrecht zu der Transportfläche detektiert, wobei der Pressteil (51a) gemäß einer Dicke eines Papierblatts verschoben wird, das zwischen der Transportfläche und dem Pressteil (51a) passiert,",Accuracy,Minor,"bestimmen wird schon für determine verwendet
Dicke eines Papierblatts
pass = passieren (laut Reviewern)",,werden_dynamic,manual:accuracy
26_0427_4554_US_IE_4.xlsx,the process further comprises determining that a paper sheet having tape applied thereto is passing between the transporting face and the pressing part (51a) when the displacement amount detected by the displacement amount detector (51) is equal to or greater than the first threshold and less than a second threshold based on the thickness of one paper sheet stored by the paper sheet thickness storage (53) and the reference displacement amount stored by the reference displacement amount storage (52).,"der Prozess ferner das Bestimmen umfasst, dass ein Papierblatt, auf das ein Band aufgebracht ist, zwischen der Transportfläche und dem Pressteil (51a) hindurchgeht, wenn der durch den Verschiebungsbetragsdetektor (51) detektierte Verschiebungsbetrag gleich oder größer als der erste Schwellenwert und kleiner als ein zweiter Schwellenwert ist, basierend auf der Dicke von einem Papierblatt, das durch den Papierblattdickenspeicher (53) gespeichert ist, und dem Referenzverschiebungsbetrag, der durch den Referenzverschiebungsbetragsspeicher (52) gespeichert ist.","der Vorgang ferner ein Bestimmen umfasst, dass ein Papierblatt, das ein darauf aufgebrachtes Band aufweist, zwischen der Transportfläche und dem Pressteil (51a) passiert, wenn der durch den Verschiebungsbetragsdetektor (51) detektierte Verschiebungsbetrag gleich oder größer als der erste Schwellenwert und kleiner als ein zweiter Schwellenwert ist, basierend auf der durch den Papierblattdickenspeicher (53) gespeicherten Dicke eines Papierblatts und dem durch den Referenzverschiebungsbetragsspeicher (52) gespeicherten Referenzverschiebungsbetrag.",Accuracy,Minor,"ein Bestimmen (erstes Vorkommen)
having = aufweisen
Die Dicke ist gespeichert, nicht das Papierblatt.
Syntax inkonsistent mit anderen Segmenten",,,glossary:other; linter_new:article_first_mention; manual:accuracy
26_0427_4554_US_IE_4.xlsx,a pressing part,einen Pressteil / ein Pressteil,einen Pressteil,Country Standards,Minor,"maskulin/neutrum inkonsistent (Neutrum wird in der Regel nur dann verwendet, wenn das Teil abnehmbar ist. Maskulin nur dann, wenn es sich um einen integrierten Teil der Vorrichtung handelt.)",,,manual:article
26_0427_4554_US_IE_4.xlsx,"a determination unit (55) that, on the basis of the displacement amount detected by the displacement amount detector (51), the reference displacement amount stored by the reference displacement amount storage (52), the thickness of one paper sheet stored by the paper sheet thickness storage (53), and the tape thickness threshold stored by the tape thickness threshold storage (54), is configured to determine which of one paper sheet, a paper sheet having tape applied thereto, two paper sheets laid on top of one another, or another paper sheet is passing between the transporting face and the pressing part (51a);","eine Bestimmungseinheit (55), die basierend auf dem durch den Verschiebungsbetragsdetektor (51) detektierten Verschiebungsbetrag, dem durch den Referenzverschiebungsbetragsspeicher (52) gespeicherten Referenzverschiebungsbetrag, der durch den Papierblattdickenspeicher (53) gespeicherten Dicke eines Papierblatts und dem durch den Banddickenschwellenwertspeicher (54) gespeicherten Banddickenschwellenwert dazu konfiguriert ist, zu bestimmen, welches von einem Papierblatt, einem Papierblatt mit darauf aufgebrachtem Band, zwei aufeinander gelegten Papierblättern oder einem anderen Papierblatt zwischen der Transportfläche und dem Pressteil (51a) passiert;","eine Bestimmungseinheit (55), die auf der Basis des durch den Verschiebungsbetragsdetektor (51) detektierten Verschiebungsbetrags, des durch den Referenzverschiebungsbetragsspeicher (52) gespeicherten Referenzverschiebungsbetrags, der durch den Papierblattdickenspeicher (53) gespeicherten Dicke eines Papierblatts und des durch den Banddickenschwellenwertspeicher (54) gespeicherten Banddickenschwellenwerts dazu konfiguriert ist, zu bestimmen, welches von einem Papierblatt, einem Papierblatt, das ein darauf aufgebrachtes Band aufweist, zwei aufeinander gelegten Papierblättern oder einem anderen Papierblatt zwischen der Transportfläche und dem Pressteil (51a) passiert;",Consistency,Minor,"on the basis, nicht based on (siehe Segment weiter oben)",,welche_relativpronomen,linter:welche_relativpronomen; manual:consistency
26_0427_4554_US_IE_4.xlsx,time of the determination,Zeitpunkt der Bestimmung / Bestimmungszeitpunkt,Zeitpunkt der Bestimmung,Consistency,Minor,Für eins entscheiden. Hier ist Ersteres präziser aufgrund des def. Art.,,,manual:consistency
26_0430_4807_US_IE_4.xlsx,specification,Spezifikation,Patentschrift,Terminology,Minor,Siehe Glossar,,,glossary:other
26_0430_4807_US_IE_4.xlsx,C1-6,C1-6,C1–6,Country Standards,Minor,Für ranges immer Halbgeviertstrich verwenden (Alt+0150).,,hyphen_in_number_range,linter:hyphen_in_number_range
26_0430_4807_US_IE_4.xlsx,"L is O and A is selected from azetidinyl, cyclobutyl, pyrrolidinyl, cyclopentyl, piperidinyl, piperazinyl, morpholinyl, and cyclohexyl, each of which is optionally substituted by one or more substituents Re; or","L ist O und A ausgewählt ist aus Azetidinyl, Cyclobutyl, Pyrrolidinyl, Cyclopentyl, Piperidinyl, Piperazinyl, Morpholinyl und Cyclohexyl, von denen jedes optional mit einem oder mehreren Substituenten Re substituiert ist; oder","L O ist und A ausgewählt ist aus Azetidinyl, Cyclobutyl, Pyrrolidinyl, Cyclopentyl, Piperidinyl, Piperazinyl, Morpholinyl und Cyclohexyl, von denen jedes optional durch einen oder mehrere Substituenten Re substituiert ist; oder",Language,Minor,"Syntax im ersten Satzteil
""substituiert durch"" klingt natürlicher, oder? (preferential)",,,manual:word_order
26_0430_4807_US_IE_4.xlsx,provided that the compound is not:,"mit der Maßgabe, dass die Verbindung nicht:","mit der Maßgabe, dass die Verbindung nicht Folgendes ist:",Mistranslation,Minor,"""is"" fehlt",,,manual:accuracy
26_0430_4807_US_IE_4.xlsx,"8. The compound, or a salt or solvate thereof, according to any one of claims 1 to 7 wherein Ra and Rb are independently selected from methyl and ethyl.","8. Verbindung oder Salz oder Solvat davon nach einem der Ansprüche 1 bis 7, wobei Ra und Rb unabhängig voneinander aus Methyl und Ethyl ausgewählt sind.","8. Verbindung oder Salz oder Solvat davon nach einem der Ansprüche 1 bis 7, wobei Ra und Rb unabhängig aus Methyl und Ethyl ausgewählt sind.",Preferential Change,,"Im Glossar steht nur ""unabhängig ausgewählt aus"" ohne ""voneinander"", obwohl dies natürlich auch korrekt wäre. Hast du auch in anderen Segmenten weggelassen.",,,manual:consistency
26_0430_4807_US_IE_4.xlsx,The compound according to any one of claims 1 to 10 as a pharmaceutically acceptable salt or solvate.,Verbindung nach einem der Ansprüche 1 bis 10 als pharmazeutisch verträgliches Salz oder Solvat.,Verbindung nach einem der Ansprüche 1 bis 10 als ein pharmazeutisch verträgliches Salz oder Solvat.,Accuracy,Minor,"Fehlender Artikel ""ein""",,,linter_new:article_first_mention
26_0430_4807_US_IE_4.xlsx,"A pharmaceutical composition comprising the compound according to any one of claims 1 to 10, or the pharmaceutically acceptable salt or solvate thereof according to claim 11, and a pharmaceutically acceptable excipient.","Pharmazeutische Zusammensetzung, umfassend die Verbindung nach einem der Ansprüche 1 bis 10 oder pharmazeutisch verträgliches Salz oder Solvat davon nach Anspruch 11 und einen pharmazeutisch verträglichen Hilfsstoff.","Pharmazeutische Zusammensetzung, umfassend die Verbindung nach einem der Ansprüche 1 bis 10 oder das pharmazeutisch verträgliche Salz oder Solvat davon nach Anspruch 11 und einen pharmazeutisch verträglichen Hilfsstoff.",Accuracy,Minor,"Fehlender Artikel ""das""",,,manual:article
26_0430_4807_US_IE_4.xlsx,in therapy,in der Therapie,bei der Therapie,Terminology,Minor,Siehe Glossar,,,glossary:other
26_0430_4807_US_IE_4.xlsx,"The compound according to any one of claims 1 to 10, or the pharmaceutically acceptable salt or solvate thereof according to claim 11, or the pharmaceutical composition according to claim 12, for use in the treatment of a disease or condition associated with aberrant activity of salt-inducible kinase (SIK), such as cancer or an inflammatory disorder.","Verbindung nach einem der Ansprüche 1 bis 10 oder pharmazeutisch verträgliches Salz oder Solvat davon nach Anspruch 11 oder pharmazeutische Zusammensetzung nach Anspruch 12 zur Verwendung bei der Behandlung einer Erkrankung oder Krankheit, die mit abnormer Aktivität von salzinduzierbarer Kinase (SIK) assoziiert ist, wie Krebs oder eine entzündliche Erkrankung.","Verbindung nach einem der Ansprüche 1 bis 10 oder pharmazeutisch verträgliches Salz oder Solvat davon nach Anspruch 11 oder pharmazeutische Zusammensetzung nach Anspruch 12 zur Verwendung bei der Behandlung einer Erkrankung oder Krankheit, die mit abnormer Aktivität von salzinduzierbarer Kinase (SIK) verbunden ist, wie Krebs oder eine entzündliche Störung.",Consistency,Minor,"""Erkrankung"" hast du schon für ""disease"" verwendet (ich weiß, es ist der Glossareintrag für beides, etwas blöd)
Dennoch würde ich hier vom Glossar abweichen und stattdessen ""Störung"" für ""disorder"" wählen

associate = verbinden, verknüpfen (siehe Glossar)",,,glossary:other; manual:consistency
26_0501_4398_US_IE_4.xlsx,"a, b, c, d, e, f, g, h, n, m and x are, respectively, the atomic ratios of bismuth (Bi), iron (Fe), A, D, E, F, G, cerium (Ce), chromium (Cr), molybdenum (Mo) and oxygen (O), relative to “m” atoms of molybdenum (Mo),","a, b, c, d, e, f, g, h, n, m und x jeweils die Atomverhältnisse von Bismut (Bi), Eisen (Fe), A, D, E, F, G, Cer (Ce), Chrom (Cr), Molybdän (Mo) und Sauerstoff (O), bezogen auf ""m"" Atome von Molybdän (Mo), sind,","a, b, c, d, e, f, g, h, n, m und x jeweils die Atomverhältnisse von Bismut (Bi), Eisen (Fe), A, D, E, F, G, Cer (Ce), Chrom (Cr), Molybdän (Mo) und Sauerstoff (O) relativ zu „m“ Atomen von Molybdän (Mo) sind,",Country Standards,Minor,"Deutsche Anführungszeichen 
""relativ"" näher an Quelle, aber preferential. Allerdings hast du ""relativ"" hast du es im ganzen Patent abwechselnd als ""gegenüber"", ""im Verhältnis zu"", ""relativ"" und ""bezogen auf"" übersetzt",,,linter:german_quotation_marks
26_0501_4398_US_IE_4.xlsx,"q is 0 to 2.476, and","q 0 und 2,476 ist und","q 0 bis 2,476 ist und",Mistranslation,Minor,bis,,,manual:accuracy
26_0501_4398_US_IE_4.xlsx,wherein 0 ≤ m – (3a+2b+c+2d+3h+3n)/2 ≤ 1.0.,"wobei 0 ≤ m - (3a+2b+c+2d+3h+3n)/2 ≤ 1,0.","wobei 0 ≤ m – (3a+2b+c+2d+3h+3n)/2 ≤ 1,0.",Country Standards,Minor,Deutscher Halbgeviertstrich als Minuszeichen,,,manual:other
26_0501_4398_US_IE_4.xlsx,"8. A process for the conversion of an olefin selected from the group consisting of propylene, isobutylene and mixtures thereof, to acrylonitrile, methacrylonitrile, and mixtures thereof, with hydrogen cyanide produced as a co-product, by reacting in the vapor phase at an elevated temperature and pressure said olefin with a molecular oxygen containing gas and ammonia in the presence of a catalyst wherein the relative ratios of the listed elements in said catalyst are represented by the following formula:","8. Verfahren zur Umwandlung eines Olefins, ausgewählt aus der Gruppe, bestehend aus Propylen, Isobutylen und Mischungen davon, in Acrylnitril, Methacrylnitril und Mischungen davon, mit Cyanwasserstoff, hergestellt als ein Co-Produkt, durch Umsetzen des Olefins in der Dampfphase bei erhöhter Temperatur und erhöhtem Druck mit einem molekularen Sauerstoff enthaltenden Gas und Ammoniak in Gegenwart eines Katalysators, wobei die relativen Verhältnisse der aufgelisteten Elemente in dem Katalysator durch die folgende Formel dargestellt werden:","8. Verfahren zur Umwandlung eines Olefins, das aus der Gruppe bestehend aus Propylen, Isobutylen und Mischungen davon ausgewählt ist, in Acrylnitril, Methacrylnitril und Mischungen davon, wobei Cyanwasserstoff als ein Nebenprodukt produziert wird, durch Umsetzen des Olefins in der Dampfphase bei einer erhöhten Temperatur und einem erhöhten Druck mit einem molekularen Sauerstoff enthaltenden Gas und Ammoniak in der Gegenwart eines Katalysators, wobei die relativen Verhältnisse der aufgelisteten Elemente in dem Katalysator durch die folgende Formel dargestellt sind:",Accuracy,Minor,"""aus der Gruppe bestehend aus… ausgewählt"" hast du vorher schon so verwendet
bei einer erhöhten Temp. (Artikel nicht vergessen)
Andere Ungenauigkeiten",,werden_dynamic; preposition_contraction,manual:accuracy
26_0501_4398_US_IE_4.xlsx,"%PC is the Propylene Conversion, and",%PC der Propylenumsatz ist und,%PC die Propylenumwandlung ist und,Consistency,Minor,Vorher Umwandlung verwendet,,,manual:consistency
26_0501_4398_US_IE_4.xlsx,α is greater than 102.5.,"α ist größer als 102,5.","α größer als 102,5 ist.",Language,Minor,bezieht sich auf wherein… (Syntax),,,manual:word_order
26_0501_4398_US_IE_4.xlsx,"The process of claim 8, wherein the yield of acrylonitrile and methacrylonitrile is increased relative to the amount of hydrogen cyanide produced in the process by the addition to the catalyst of a molybdenum oxide compound selected from the group consisting of MoO3, ammonium molybdate, ammonium heptamolybdate, ammonium dimolybdate and mixtures thereof.","Verfahren nach Anspruch 8, dadurch gekennzeichnet, dass die Ausbeute an Acrylnitril und Methacrylnitril gegenüber der Menge an Cyanwasserstoff erhöht wird, die bei dem Verfahren durch Zugabe einer Molybdänoxidverbindung, ausgewählt aus der Gruppe bestehend aus MoO3, Ammoniummolybdat, Ammoniumheptamolybdat, Ammoniumdimolybdat und Mischungen davon, zu dem Katalysator produziert wird.","Verfahren nach Anspruch 8, wobei die Ausbeute an Acrylnitril und Methacrylnitril relativ zu der in dem Verfahren produzierten Menge an Cyanwasserstoff durch die Zugabe einer Molybdänoxidverbindung, die aus der Gruppe bestehend aus MoO3, Ammoniummolybdat, Ammoniumheptamolybdat, Ammoniumdimolybdat und Mischungen davon ausgewählt ist, zu dem Katalysator erhöht wird.",Mistranslation,Minor,"wherein = wobei
Zugabe bezieht sich auf den Hauptteil des Satzes",,werden_dynamic,manual:accuracy
26_0501_4398_US_IE_4.xlsx,"The process of claim 11, wherein the amount of said molybdenum oxide compound added to the catalyst is in the range of 0.01 wt% to about 10 wt%, relative to the weight of said catalyst.","Verfahren nach Anspruch 11, wobei die Menge der Molybdänoxidverbindung, die dem Katalysator zugegeben wird, im Bereich von 0,01 Gew.-% bis etwa 10 Gew.-%, bezogen auf das Gewicht des Katalysators, liegt.","Verfahren nach Anspruch 11, wobei die dem Katalysator zugegebene Menge der Molybdänoxidverbindung in dem Bereich von 0,01[NBSP]Gew.-% bis etwa 10[NBSP]Gew.-%, relativ zu dem Gewicht des Katalysators ist.",Accuracy,Minor,"is = ist (nicht liegt)
in dem, nicht im
Non-breaking spaces vor Einheiten",,werden_dynamic; preposition_contraction,glossary:is_are_value; linter:preposition_contraction; linter:regular_space_before_unit
